nb,idsDico,nom,type,langue,general,licence,idsOeu,uti,nbConcept,nbPronom,nbSyntagme,nbDeterminant,nbNegation,nbConjugaison
43,140,DS-Animaux,concepts,français,0,by,42,jpb,43,0,3,0,0,0
36,141,DS_EspritHumain,concepts,français,0,by,43,jpb,36,0,0,0,0,0
2,142,Lozère,concepts,français,0,by,44,jpb,2,0,0,0,0,0
1,143,DS_HerbierFrançais,concepts,français,0,by,45,jpb,0,0,0,0,0,0
135,144,DS_HerbierFrançais,concepts,français,0,by,47,jpb,135,0,0,0,0,0
41,145,DS-BarbeBleue,concepts,français,0,by,49,jpb,41,0,0,0,0,0
31,146,DS_Faust,concepts,français,0,by,50,jpb,31,0,0,0,0,0
33,147,DS_RomanInachevé,concepts,français,0,by,51,jpb,33,0,0,0,0,0
299,148,DS_MondIcertain,concepts,français,0,by,52,jpb,299,0,1,0,0,0
76,149,samszo,concepts,français,0,by,53,samszo,76,0,0,0,0,0
8,150,JBousquet,concepts,français,0,by,54,jpb,8,0,0,0,0,0
1,151,K_gen,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
1,152,K_gen,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
1,153,DSK-gen,concepts,français,0,by,NULL,NULL,1,0,0,0,0,0
39,154,DSKGen,concepts,français,0,by,NULL,NULL,39,0,0,0,0,0
2,155,DS_K-gen,concepts,français,0,by,56,NULL,2,0,0,0,0,0
1,156,K,concepts,français,0,by,56,NULL,0,0,0,0,0,0
1,162,bidule,concepts,français,0,CC0,65,NULL,0,0,0,0,0,0
4,163,bidule,concepts,français,0,CC0,66,NULL,4,0,0,0,0,0
